PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40651668,Impact of Patient Prescriber Agreement on Aberrant Urine Drug Tests among Patients Receiving Opioids for Cancer Pain.,2025-Jul-10,,,N/A
40651655,Deglycosylated PD-L1 is a biomarker for immune checkpoint blockade response: a real-world study in breast cancer patients in Taiwan.,2025-Jul-10,,,N/A
40651629,Feasibility study of functional magnetic resonance imaging-based biologically-guided lattice radiotherapy.,2025-Jul-10,,,N/A
40651610,Modulation of the PTPRS proteoglycan switch by antibodies binding to the membrane-proximal fibronectin-type III domain.,2025-Jul-10,,,N/A
40651609,"Geography, Genes, and Germs: An Evolutionary Entanglement.",2025-Jul-10,,,N/A
40651601,Peptide-based strategies for glioblastoma therapy: From small molecular drugs to delivery vehicles.,2025-Jul-10,,,N/A
40651599,Targeted delivery of therapeutics to metastatic lung cancer cells using aptamer-conjugated nanoemulsions.,2025-Jul-10,,,N/A
40651548,The role of deiodinases on metabolic alteration in cancer.,2025-Jul-10,,,N/A
40651478,Exercise for colon cancer: from supportive care to therapy.,2025-Aug-01,,,N/A
40651477,Dynamic stimulation promotes functional tissue-like organization of a 3D human lymphoid microenvironment model in vitro.,2025-Jul-04,,,N/A
40651471,Association of anti-PD-1 therapy with severe radiation-induced oral mucositis: A retrospective cohort study and validation in the CONTINUUM trial.,2025-Jul-04,,,N/A
40651460,When UV1 cancer vaccine meets immune checkpoint blockade: Positive immune response but negative clinical outcome.,2025-Jul-11,,,N/A
40651458,A brain-penetrant CDK4/6 inhibitor - AU3-14 shows robust anti-tumor efficacy against glioblastoma.,2025-Jul-11,Lijun Wei; Yan Zhou; Ke Wang; Hui Wang; Jun Liu; Xiang Zhou,"Changzhou Qianhong Biopharmaceuticals Co. Ltd., Xinbei District, Jiangsu 213125, China.; Changzhou LeSun Pharmaceuticals Ltd., Xinbei District, Jiangsu 213125, China.",N/A
